"","var_name","var_desc","var_type","class"
"429","cv013_3_35","Spouse ID of hhmember-35",0,"numeric"
"430","cv013_4_1","Spouse ID of hhmember-1",0,"numeric"
"431","cv013_4_2","Spouse ID of hhmember-2",0,"numeric"
"432","cv013_4_3","Spouse ID of hhmember-3",0,"numeric"
"433","cv013_4_4","Spouse ID of hhmember-4",0,"numeric"
"434","cv013_4_5","Spouse ID of hhmember-5",0,"numeric"
"435","cv013_4_6","Spouse ID of hhmember-6",0,"numeric"
"436","cv013_4_7","Spouse ID of hhmember-7",0,"numeric"
"437","cv013_4_8","Spouse ID of hhmember-8",0,"numeric"
"438","cv013_4_9","Spouse ID of hhmember-9",0,"numeric"
"439","cv013_4_10","Spouse ID of hhmember-10",0,"numeric"
"440","cv013_4_11","Spouse ID of hhmember-11",0,"numeric"
"441","cv013_4_12","Spouse ID of hhmember-12",0,"numeric"
